idx,asin
0,0007442920
1,0062267159
2,0062267175
3,006226768X
4,0062267728
5,0062267744
6,0062267884
7,0062267906
8,0062273248
9,0062273264
10,0062273280
11,0062289357
12,0062292129
13,0062294776
14,0062294784
15,0062299018
16,0062299271
17,006229931X
18,006230240X
19,0062302418
20,0062302426
21,0062304828
22,0062317458
23,0062326201
24,0062333038
25,0062351893
26,014219672X
27,0143124544
28,0263899403
29,030758836X
30,0316404381
31,0345544110
32,0345545834
33,0345545869
34,0345546601
35,034554661X
36,0345546628
37,0345546679
38,0345803493
39,0345803507
40,0373210493
41,0373210639
42,037321099X
43,0373211104
44,0373778287
45,0373778295
46,0373778376
47,0425263908
48,0425263916
49,0425263924
50,0425265951
51,042526596X
52,0425266516
53,0425266745
54,0425266869
55,0425267040
56,0425267067
57,0425267083
58,0425267806
59,0425267814
60,0425267822
61,0425269841
62,042526985X
63,0425269868
64,0425272346
65,0425272354
66,0425274462
67,0451216954
68,0451218043
69,0451239350
70,0451417054
71,0451419707
72,0451419715
73,0451466225
74,0451466233
75,0451466659
76,0451466667
77,0451466683
78,0451467965
79,0451467973
80,0451468279
81,0451468287
82,0451469402
83,0451470672
84,0473240610
85,0578122596
86,0578124114
87,0578125439
88,0578129965
89,0578133512
90,0578141809
91,0615429505
92,0615581927
93,0615608868
94,0615680046
95,061568677X
96,0615694403
97,0615741932
98,0615748996
99,0615752179
100,0615757375
101,0615764037
102,061576567X
103,0615766412
104,061577041X
105,0615771106
106,0615774237
107,0615782140
108,0615785824
109,0615788084
110,0615789684
111,061579615X
112,0615796982
113,0615803830
114,0615803873
115,0615810756
116,0615822762
117,0615822886
118,0615822991
119,0615826814
120,0615827446
121,0615827500
122,0615827837
123,0615836968
124,061583860X
125,0615840841
126,0615845517
127,0615849601
128,0615857272
129,0615859763
130,0615860788
131,0615860826
132,0615861326
133,0615868401
134,0615885438
135,0615887767
136,061589285X
137,0615894666
138,0615900305
139,0615910521
140,0615911684
141,0615913970
142,0615928854
143,0615974171
144,0692208879
145,0692221506
146,0751552615
147,0778313530
148,0778315703
149,0778316173
150,0804176663
151,0804176787
152,0804176809
153,0804176825
154,0957496168
155,0957680368
156,0981943667
157,0983157200
158,0983212546
159,0983593167
160,0983706352
161,0984887873
162,098488789X
163,0985008628
164,0985008660
165,0985008687
166,0985059133
167,0985059141
168,098505915X
169,0985059168
170,0985059176
171,0985817003
172,0985817089
173,0985817097
174,0985872586
175,0987526111
176,0987526154
177,0988264269
178,0988273608
179,0988273632
180,0988273683
181,0988301318
182,0988348268
183,0988489112
184,0988489171
185,0988489198
186,0988695103
187,0988695111
188,098869512X
189,098870742X
190,0988707470
191,0988707489
192,0988715805
193,098871583X
194,0988715880
195,0988742942
196,0988771373
197,098877139X
198,0988812517
199,0988812541
200,0989041697
201,0989104400
202,0989104427
203,0989104478
204,0989108155
205,0989108171
206,0989108198
207,0989117375
208,0989138607
209,0989138631
210,0989210987
211,0989246515
212,0989246531
213,0989247910
214,0989247953
215,0989247988
216,0989269833
217,0989269868
218,0989281000
219,0989283410
220,0989339211
221,0989339246
222,0989339270
223,0989339289
224,0989353656
225,0989373819
226,0989373827
227,0989373843
228,0989416402
229,0989416410
230,0989416429
231,0989416496
232,0989450201
233,0989450236
234,0989450252
235,0989465004
236,0989492508
237,0989492559
238,0989527417
239,0989598403
240,0989668401
241,0989713482
242,0989740617
243,0989740633
244,0989768406
245,0989769704
246,0989780716
247,0989825086
248,0991105419
249,0991127390
250,0991192818
251,0991309618
252,0991309634
253,0991309650
254,0991309693
255,0991379616
256,0991379632
257,0991379659
258,0991401115
259,0991426711
260,0991426738
261,0991587200
262,0991686004
263,099173274X
264,0991732766
265,0991841131
266,0991841174
267,0992106818
268,0992142202
269,0992466512
270,0993702325
271,0996053018
272,1250050367
273,125005236X
274,1250058236
275,140220521X
276,1402244428
277,1402245777
278,1402245831
279,1402245866
280,1402271514
281,1402284853
282,1419953249
283,1419953656
284,1419970291
285,144235948X
286,1442485256
287,1442485280
288,1442488603
289,1442488638
290,1442488662
291,1442488697
292,1451533969
293,1452645493
294,1452662673
295,1452663874
296,1452664935
297,1453720693
298,1455548987
299,1455549002
300,1455550833
301,1455557714
302,1455574449
303,1455574856
304,1455574880
305,145557631X
306,1455576506
307,1455578312
308,1455578347
309,1455578363
310,1455582689
311,1455599050
312,1455599085
313,1455599182
314,1455599204
315,1455599220
316,1455599247
317,1455599255
318,1455599271
319,1456527738
320,1461085977
321,146109111X
322,1462003907
323,1463695403
324,1466276983
325,1467943207
326,1467980757
327,1468112422
328,1468161660
329,1468187953
330,1469252317
331,1469905833
332,1469982781
333,1469982994
334,1469984016
335,1470077892
336,1470124327
337,1471133524
338,1471133567
339,1472211243
340,147500544X
341,1475102542
342,1475156456
343,1475181221
344,1475244207
345,1476712980
346,1476717516
347,1476717524
348,1476718202
349,1476718970
350,1476725365
351,147672721X
352,1476727228
353,1476730091
354,1476730601
355,1476730946
356,1476731535
357,1476732027
358,1476735247
359,1476735271
360,1476735603
361,1476740496
362,1476741182
363,1476741255
364,147674355X
365,1476744084
366,1476744106
367,1476744130
368,1476744904
369,1476744920
370,1476746532
371,1476751404
372,1476751803
373,1476752192
374,1476753164
375,1476754144
376,1476755094
377,1476755108
378,1476755590
379,1476755604
380,1476756503
381,147675652X
382,1476756546
383,1476759006
384,1476759529
385,1476760772
386,1476761779
387,1476763526
388,1476763607
389,1476763623
390,1476764468
391,1476764603
392,147677594X
393,1476776016
394,1476776040
395,1476783284
396,1477473971
397,1477571086
398,1477661875
399,1477665412
400,1477694919
401,1477805028
402,1477805052
403,1477808663
404,1477808671
405,1477817158
406,1477817182
407,1477817484
408,1477817492
409,1477817506
410,1477847103
411,1478132744
412,1478314605
413,1479103780
414,1479145211
415,1479218685
416,1479245712
417,1479318868
418,1479327573
419,1479333573
420,1479359084
421,1479372749
422,147937296X
423,1479390046
424,1479398772
425,1480008907
426,1480055549
427,1480074616
428,148008591X
429,1480089133
430,1480096954
431,1480114065
432,1480114480
433,1480125717
434,1480132705
435,1480138320
436,1480141283
437,1480170623
438,1480186120
439,1480213985
440,1480225649
441,1480226300
442,148023365X
443,1480264024
444,1480276855
445,1480278807
446,1480297275
447,1480529699
448,1480536466
449,1480568503
450,1481004379
451,1481025988
452,1481042440
453,1481058134
454,1481060139
455,1481060953
456,1481100920
457,148111834X
458,1481152718
459,1481162527
460,148117567X
461,148120811X
462,1481212079
463,1481258885
464,1481268503
465,1481280767
466,1481406701
467,1481802119
468,1481802224
469,1481841009
470,1481866842
471,148188607X
472,148188669X
473,1481896857
474,1481901907
475,1481909282
476,1481931628
477,1481936603
478,1481948997
479,1481953214
480,1481955306
481,1481957597
482,1481960741
483,1481962116
484,1481968890
485,1481976303
486,1481984071
487,1481987712
488,1481988867
489,1481999842
490,1482012294
491,1482015560
492,1482016931
493,1482063557
494,1482084007
495,148230810X
496,148231312X
497,1482318687
498,1482319055
499,1482332574
500,1482333139
501,148234873X
502,1482524058
503,1482524759
504,1482529858
505,1482571145
506,1482594129
507,1482596709
508,148261376X
509,1482628961
510,1482632462
511,1482640058
512,1482652226
513,1482658143
514,148265864X
515,1482680858
516,1482687240
517,1482692163
518,1482718529
519,1482747634
520,1482767775
521,148276895X
522,1482772973
523,1482776472
524,1482791285
525,1482792621
526,1483901890
527,148390329X
528,1483912647
529,148391366X
530,1483918432
531,1483918777
532,1483920607
533,1483935906
534,1483940993
535,1483948978
536,1483966763
537,148398348X
538,148398527X
539,1483998819
540,1484013387
541,1484021959
542,148403726X
543,1484038487
544,1484043596
545,1484050371
546,1484053699
547,1484055268
548,1484068769
549,1484076168
550,1484085906
551,148410630X
552,1484109724
553,1484118782
554,1484120906
555,1484125460
556,1484131622
557,1484148037
558,1484185064
559,1484802039
560,1484807944
561,1484813642
562,1484816064
563,1484817095
564,148482606X
565,1484835263
566,1484842812
567,1484854152
568,148485828X
569,1484861280
570,1484865510
571,1484889029
572,1484890450
573,1484909917
574,1484920066
575,1484920147
576,1484924886
577,1484931963
578,1484966554
579,1484967836
580,1484968042
581,1484972090
582,1484988833
583,1484994566
584,148950995X
585,1489515607
586,1489515690
587,1489516948
588,1489519106
589,1489521534
590,1489528865
591,1489536213
592,148953993X
593,1489553207
594,1489554408
595,1489555293
596,148956621X
597,1489570799
598,1489578765
599,1489591095
600,1490310835
601,1490313281
602,149031802X
603,149032495X
604,149033274X
605,149033730X
606,1490339973
607,1490368574
608,1490381716
609,1490383395
610,1490392602
611,1490401822
612,149040399X
613,1490412727
614,1490417737
615,1490418547
616,149041925X
617,1490424601
618,1490425071
619,1490425497
620,149043013X
621,1490436529
622,1490439838
623,1490449647
624,1490471103
625,1490487190
626,1490490639
627,1490506853
628,1490515011
629,1490559175
630,1490560432
631,1490568530
632,1490572082
633,1490596801
634,1490906134
635,1490916636
636,1490922423
637,1490940499
638,1490943781
639,1490943846
640,1490946810
641,1490962050
642,149097136X
643,1490974377
644,1490984798
645,149099792X
646,1490997954
