asin,title,author,description,text
0007442920,Insurgent,Veronica Roth,"One choice can transform you--or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves--and herself--while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.

Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable--and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so.

""New York Times"" bestselling author Veronica Roth's much-anticipated second book of the dystopian ""Divergent"" series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature","Insurgent by Veronica Roth. One choice can transform you--or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves--and herself--while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.

Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable--and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so.

""New York Times"" bestselling author Veronica Roth's much-anticipated second book of the dystopian ""Divergent"" series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature"
0062267159,Clash,Nicole Williams,"The only easy thing about Jude and Lucy's relationship is their love for one another. Everything else is hard. Especially when it comes to reining in Jude's trigger touch temper and Lucy's increasing jealousy of Jude's Spirit Sister on the cheer squad who's attached herself to him in just about every way a girl could. Feeling the stress of trying to hang on to her quintessential bad boy while becoming the foremost dancer in her class, Lucy knows somethings going to break.","Clash by Nicole Williams. The only easy thing about Jude and Lucy's relationship is their love for one another. Everything else is hard. Especially when it comes to reining in Jude's trigger touch temper and Lucy's increasing jealousy of Jude's Spirit Sister on the cheer squad who's attached herself to him in just about every way a girl could. Feeling the stress of trying to hang on to her quintessential bad boy while becoming the foremost dancer in her class, Lucy knows somethings going to break."
0062267175,Crush,Nicole Williams,"""Once again, Jude and Lucy are torn apart by football training and a summer job that creates new tensions. this time Jude's the one with trust issues. Will Lucy's life-changing news bring them back together or end their relationship for good? Can love triumph forever?""--Page of cover.","Crush by Nicole Williams. ""Once again, Jude and Lucy are torn apart by football training and a summer job that creates new tensions. this time Jude's the one with trust issues. Will Lucy's life-changing news bring them back together or end their relationship for good? Can love triumph forever?""--Page of cover."
006226768X,Taking chances,Molly McAdams,"Topics: Fiction, romance, general, San francisco (calif.), fiction.","Taking chances by Molly McAdams. Topics: Fiction, romance, general, San francisco (calif.), fiction."
0062267728,From ashes,Molly McAdams,"Aside from her dad, Cassidy has only ever trusted one man: her best friend, Tyler. So of course she follows him to Texas when he leaves for college. She just didn't expect to be so drawn to their new roommate, Gage, a gorgeous guy with a husky Southern drawl. The only problem? He's Tyler's cousin. And there's something about Cassi that makes Gage want to give her everything. Too bad Tyler has warned him that she's strictly off-limits. When disaster sends Cassi running into Tyler's arms, she will have to decide whether to face the demons of her past, or burn her chance at a future with Gage.","From ashes by Molly McAdams. Aside from her dad, Cassidy has only ever trusted one man: her best friend, Tyler. So of course she follows him to Texas when he leaves for college. She just didn't expect to be so drawn to their new roommate, Gage, a gorgeous guy with a husky Southern drawl. The only problem? He's Tyler's cousin. And there's something about Cassi that makes Gage want to give her everything. Too bad Tyler has warned him that she's strictly off-limits. When disaster sends Cassi running into Tyler's arms, she will have to decide whether to face the demons of her past, or burn her chance at a future with Gage."
0062267744,Forgiving lies,Molly McAdams,"Logan ""Kash"" Ryan has spent the last three and a half years working undercover in Tampa Bay, Florida. When a case sends him and his partner to Austin, Texas to follow the trail of a serial killer, their soul focus needs to be on finding the guy before he can find another victim. The last thing Kash needs is the distraction of his beautiful new neighbor, but there's something about her guarded nature and feisty attitude that makes it impossible to stay away from her. Rachel Masters has shielded herself from getting hurt again. But when her new neighbor almost takes her door off with his motorcycle, everything changes. He's arrogant, gorgeous, tattooed and pierced. Everything she knows she should stay away from. Despite the warnings her initial impression has raised, she quickly falls for him and the way he works at breaking down all her walls. But he's hiding something, and after everything that has happened in Rachel's life lately, a guy is the last thing she needs. From the moment Rachel and Kash meet, they stress the friendship-only rule and continue to push their feelings for each other aside. But as their friendship advances, lines start blurring, and soon their reasons for keeping the other at a distance are forgotten. Will Kash be able to maintain focus on the investigation while keeping Rachel safe from his real life - or will it all fall apart right in front of him, and will she run when she finds out everything he has been hiding? --","Forgiving lies by Molly McAdams. Logan ""Kash"" Ryan has spent the last three and a half years working undercover in Tampa Bay, Florida. When a case sends him and his partner to Austin, Texas to follow the trail of a serial killer, their soul focus needs to be on finding the guy before he can find another victim. The last thing Kash needs is the distraction of his beautiful new neighbor, but there's something about her guarded nature and feisty attitude that makes it impossible to stay away from her. Rachel Masters has shielded herself from getting hurt again. But when her new neighbor almost takes her door off with his motorcycle, everything changes. He's arrogant, gorgeous, tattooed and pierced. Everything she knows she should stay away from. Despite the warnings her initial impression has raised, she quickly falls for him and the way he works at breaking down all her walls. But he's hiding something, and after everything that has happened in Rachel's life lately, a guy is the last thing she needs. From the moment Rachel and Kash meet, they stress the friendship-only rule and continue to push their feelings for each other aside. But as their friendship advances, lines start blurring, and soon their reasons for keeping the other at a distance are forgotten. Will Kash be able to maintain focus on the investigation while keeping Rachel safe from his real life - or will it all fall apart right in front of him, and will she run when she finds out everything he has been hiding? --"
0062267884,Hard As It Gets,Laura Kaye,"Trouble just walked into Nicholas Rixey's tattoo parlor. Becca Merritt is warm, sexy, wholesome--pure temptation to a very jaded Nick. He's left his military life behind to become co-owner of Hard Ink Tattoo, but Becca is his ex-commander's daughter. Loyalty won't let him turn her away. Lust has plenty to do with it, too.","Hard As It Gets by Laura Kaye. Trouble just walked into Nicholas Rixey's tattoo parlor. Becca Merritt is warm, sexy, wholesome--pure temptation to a very jaded Nick. He's left his military life behind to become co-owner of Hard Ink Tattoo, but Becca is his ex-commander's daughter. Loyalty won't let him turn her away. Lust has plenty to do with it, too."
0062267906,Hard As You Can A Hard Ink Novel,Laura Kaye,"Topics: Fiction, Special forces (Military science), Man-woman relationships, Veterans, Love stories.","Hard As You Can A Hard Ink Novel by Laura Kaye. Topics: Fiction, Special forces (Military science), Man-woman relationships, Veterans, Love stories."
0062273248,Losing it,Cora Carmack,"Topics: Virginity, Man-woman relationships, Fiction, Fiction, romance, contemporary, College students.","Losing it by Cora Carmack. Topics: Virginity, Man-woman relationships, Fiction, Fiction, romance, contemporary, College students."
0062273264,Faking It,Cora Carmack,"Topics: Fiction, romance, general, Young women, Fiction, Dating (Social customs), Man-woman relationships.","Faking It by Cora Carmack. Topics: Fiction, romance, general, Young women, Fiction, Dating (Social customs), Man-woman relationships."
