asin,title,author,cover_url,publish_date,found
0007442920,Insurgent,Veronica Roth,https://covers.openlibrary.org/b/id/13011169-M.jpg,2012,True
0062267159,Clash,Nicole Williams,,2012,True
0062267175,Crush,Nicole Williams,https://covers.openlibrary.org/b/id/12812301-M.jpg,2013,True
006226768X,Taking chances,Molly McAdams,,2013,True
0062267728,From ashes,Molly McAdams,https://covers.openlibrary.org/b/id/10757071-M.jpg,2013,True
0062267744,Forgiving lies,Molly McAdams,https://covers.openlibrary.org/b/id/8195824-M.jpg,2013,True
0062267884,Hard As It Gets,Laura Kaye,https://covers.openlibrary.org/b/id/10362914-M.jpg,"Nov 26, 2013",True
0062267906,Hard As You Can A Hard Ink Novel,Laura Kaye,https://covers.openlibrary.org/b/id/7503696-M.jpg,2014,True
0062273248,Losing it,Cora Carmack,https://covers.openlibrary.org/b/id/8216097-M.jpg,2013,True
0062273264,Faking It,Cora Carmack,https://covers.openlibrary.org/b/id/10240133-M.jpg,"Jun 04, 2013",True
0062273280,Finding it,Cora Carmack,,2013,True
0062289357,Crave,Monica Murphy,https://covers.openlibrary.org/b/id/8992604-M.jpg,2013,True
0062292129,Stealing Harper,Molly McAdams,https://covers.openlibrary.org/b/id/8330764-M.jpg,2013,True
0062294776,Wait for You,J. Lynn,https://covers.openlibrary.org/b/id/13133802-M.jpg,"Sep 03, 2013",True
0062294784,Be With Me,Jennifer L. Armentrout,https://covers.openlibrary.org/b/id/7272324-M.jpg,February 4th 2014,True
0062299018,Little Too Far,Lisa Desrochers,https://covers.openlibrary.org/b/id/7272771-M.jpg,2013,True
0062299271,Keeping her,Cora Carmack,https://covers.openlibrary.org/b/id/8187714-M.jpg,2013,True
006229931X,Deceiving lies,Molly McAdams,,2014,True
006230240X,Rule,Jay Crownover,https://covers.openlibrary.org/b/id/10425360-M.jpg,"Oct 22, 2013",True
0062302418,Jet,Jay Crownover,https://covers.openlibrary.org/b/id/10251414-M.jpg,2013,True
0062302426,Rome,Jay Crownover,https://covers.openlibrary.org/b/id/7271125-M.jpg,January 7th 2014,True
0062304828,Trust In Me,Jennifer L. Armentrout,https://covers.openlibrary.org/b/id/7271525-M.jpg,November 26th 2013,True
0062317458,Suddenly royal,Nichole Chase,https://covers.openlibrary.org/b/id/9838224-M.jpg,2013,True
0062326201,All lined up,Cora Carmack,https://covers.openlibrary.org/b/id/10334134-M.jpg,2014,True
0062333038,Nash,Jay Crownover,https://covers.openlibrary.org/b/id/10319269-M.jpg,April 29th 2014,True
0062351893,Better when he's bad,Jay Crownover,https://covers.openlibrary.org/b/id/10421051-M.jpg,2014,True
014219672X,On the island,Tracey Garvis-Graves,https://covers.openlibrary.org/b/id/9611503-M.jpg,2011,True
0143124544,Me Before You,Jojo Moyes,https://covers.openlibrary.org/b/id/14419339-M.jpg,2013,True
0263899403,Waking up Married,Mira Lyn Kelly,,2013,True
030758836X,Gone Girl,Gillian Flynn,https://covers.openlibrary.org/b/id/12498395-M.jpg,2012,True
0316404381,The girl in 6E,A. R. Torre,,2014,True
0345544110,Release Me: A Novel,J. Kenner,https://covers.openlibrary.org/b/id/10424430-M.jpg,2013,True
0345545834,Claim me,Julie Kenner,https://covers.openlibrary.org/b/id/10426259-M.jpg,2013,True
0345545869,Complete Me A Novel,Julie Kenner,https://covers.openlibrary.org/b/id/7852008-M.jpg,2013,True
0345546601,Taking Shots,Toni Aleo,https://covers.openlibrary.org/b/id/9037778-M.jpg,"Apr 23, 2013",True
034554661X,Trying to Score,Toni Aleo,https://covers.openlibrary.org/b/id/9037792-M.jpg,"Apr 23, 2013",True
0345546628,Empty Net : the Assassins Series,Toni Aleo,,2013,True
0345546679,,,,,False
0345803493,Fifty Shades Darker,E. L. James,https://covers.openlibrary.org/b/id/14566885-M.jpg,2012,True
0345803507,Fifty Shades Freed,E. L. James,https://covers.openlibrary.org/b/id/14566886-M.jpg,2012,True
0373210493,"Pushing the Limits (Pushing the Limits Series, Book 1)",Katie McGarry,https://covers.openlibrary.org/b/id/8272816-M.jpg,2012,True
0373210639,"Dare You To (Pushing the Limits Series, Book 2)",Katie McGarry,https://covers.openlibrary.org/b/id/7267952-M.jpg,"May 28, 2013",True
037321099X,"Crash Into You (Pushing the Limits Series, Book 3)",Katie McGarry,https://covers.openlibrary.org/b/id/7267950-M.jpg,"November 26, 2013",True
0373211104,White Hot Kiss,Jennifer L. Armentrout,https://covers.openlibrary.org/b/id/13133735-M.jpg,February 25th 2014,True
0373778287,Blindfolded Innocence,Alessandra Torre,https://covers.openlibrary.org/b/id/10227840-M.jpg,2012,True
0373778295,My Favorite Mistake,Chelsea M. Cameron,https://covers.openlibrary.org/b/id/13052449-M.jpg,2013,True
0373778376,Masked innocence,Alessandra Torre,https://covers.openlibrary.org/b/id/12449100-M.jpg,2014,True
0425263908,Bared to you,Sylvia Day,https://covers.openlibrary.org/b/id/7239078-M.jpg,2012,True
0425263916,Reflected In You,Sylvia Day,https://covers.openlibrary.org/b/id/7483150-M.jpg,2012,True
0425263924,Entwined with You,Sylvia Day,https://covers.openlibrary.org/b/id/7433723-M.jpg,2014,True
0425265951,Gabriels Rapture,Sylvain Reynard,https://covers.openlibrary.org/b/id/7485955-M.jpg,2012,True
042526596X,Gabriel's inferno,Sylvain Reynard,https://covers.openlibrary.org/b/id/11636029-M.jpg,2012,True
0425266516,Gabriel's redemption,Sylvain Reynard,https://covers.openlibrary.org/b/id/10342589-M.jpg,2013,True
0425266745,Easy,Tammara Webber,https://covers.openlibrary.org/b/id/11623782-M.jpg,2012,True
0425266869,Breakable,Tammara Webber,https://covers.openlibrary.org/b/id/7279899-M.jpg,May 6th 2014,True
0425267040,Rush,Maya Banks,,2013,True
0425267067,Fever,Maya Banks,https://covers.openlibrary.org/b/id/9724302-M.jpg,2 april 2013,True
0425267083,Burn,Maya Banks,https://covers.openlibrary.org/b/id/14538252-M.jpg,2013,True
0425267806,Wild Ones,M. Leighton,https://covers.openlibrary.org/b/id/9001765-M.jpg,2013,True
0425267814,Some Like it Wild,M. Leighton,https://covers.openlibrary.org/b/id/7273368-M.jpg,March 4th 2014,True
0425267822,"There's wild, then there's you",M. Leighton,,2014,True
0425269841,Down to you,M. Leighton,https://covers.openlibrary.org/b/id/10749883-M.jpg,2012,True
042526985X,Up to me,M. Leighton,https://covers.openlibrary.org/b/id/8994378-M.jpg,2013,True
0425269868,Everything for us,M. Leighton,,2013,True
0425272346,Reaper's legacy,Joanna Wylde,https://covers.openlibrary.org/b/id/12926959-M.jpg,2014,True
0425272354,Devil's game,Joanna Wylde,https://covers.openlibrary.org/b/id/14341490-M.jpg,2014,True
0425274462,True,Erin McCarthy,https://covers.openlibrary.org/b/id/13145103-M.jpg,2014,True
0451216954,Dark Lover,J. R. Ward,https://covers.openlibrary.org/b/id/293803-M.jpg,2005,True
0451218043,Lover Eternal,J. R. Ward,https://covers.openlibrary.org/b/id/12907571-M.jpg,2006,True
0451239350,Lover At Last,J. R. Ward,https://covers.openlibrary.org/b/id/7697007-M.jpg,2013,True
0451417054,The King,J. R. Ward,https://covers.openlibrary.org/b/id/11958660-M.jpg,2014,True
0451419707,On Dublin Street,Samantha Young,https://covers.openlibrary.org/b/id/9285557-M.jpg,2012,True
0451419715,Down London Road,Samantha Young,,2013,True
0451466225,The Submissive,Tara Sue Me,https://covers.openlibrary.org/b/id/10870706-M.jpg,"Jun 04, 2013",True
0451466233,The dominant,Tara Sue Me,https://covers.openlibrary.org/b/id/10426102-M.jpg,2013,True
0451466659,The Valentine's arrangement,Kelsie Leverich,https://covers.openlibrary.org/b/id/9711846-M.jpg,2014,True
0451466667,Feel the Rush,Kelsie Leverich,https://covers.openlibrary.org/b/id/13047504-M.jpg,2014,True
0451466683,Before Jamaica Lane,Samantha Young,,2014,True
0451467965,Come to me quietly,A. L. Jackson,https://covers.openlibrary.org/b/id/14596422-M.jpg,2014,True
0451467973,Come to me softly,A. L. Jackson,https://covers.openlibrary.org/b/id/13057359-M.jpg,2014,True
0451468279,Connected,Kim Karr,https://covers.openlibrary.org/b/id/12806482-M.jpg,2014,True
0451468287,Torn,Kim Karr,,2014,True
0451469402,Fall from India Place,Samantha Young,,2014,True
0451470672,Mended,Kim Karr,https://covers.openlibrary.org/b/id/10589942-M.jpg,2014,True
0473240610,,,,,False
0578122596,These Men,Andrea Smith,,2013,True
0578124114,The Do Over,A. L. Zaun,,2013-05-18,True
0578125439,,,,,False
0578129965,Freeing,E. K. Blair,https://covers.openlibrary.org/b/id/14468149-M.jpg,2013-09-12,True
0578133512,Falling,E.K. Blair,https://covers.openlibrary.org/b/id/11163357-M.jpg,"Dec 04, 2013",True
0578141809,Bang,E.K. Blair,https://covers.openlibrary.org/b/id/11143264-M.jpg,"May 09, 2014",True
0615429505,Captive In The Dark,CJ Roberts,https://covers.openlibrary.org/b/id/7627871-M.jpg,2011,True
0615581927,Reason to Breathe: The Breathing Series (Volume 1),Rebecca Donovan,https://covers.openlibrary.org/b/id/8477132-M.jpg,"Jun 16, 2012",True
0615608868,Consequences,Aleatha Romig,https://covers.openlibrary.org/b/id/10092654-M.jpg,2012,True
0615680046,,,,,False
061568677X,,,,,False
0615694403,Collide,H.M. Ward,,"Sep 03, 2012",True
0615741932,In Flight (Up In The Air) (Volume 1),R. K. Lilley,https://covers.openlibrary.org/b/id/8477175-M.jpg,"Jan 18, 2013",True
0615748996,,,,,False
0615752179,Mile High,R. K. Lilley,https://covers.openlibrary.org/b/id/13015137-M.jpg,2013,True
0615757375,,,,,False
0615764037,Rock chick,alexa riley,https://covers.openlibrary.org/b/id/12640852-M.jpg,2013,True
061576567X,Grounded,R. K. Lilley,https://covers.openlibrary.org/b/id/12934568-M.jpg,2013,True
0615766412,Raid,alexa riley,,2013,True
061577041X,Rock Chick (Volume 1),alexa riley,https://covers.openlibrary.org/b/id/8477179-M.jpg,"Apr 01, 2013",True
0615771106,Torn,K. A. Robinson,https://covers.openlibrary.org/b/id/12828081-M.jpg,2013,True
0615774237,Renegade,alexa riley,,2013,True
0615782140,Revenge,alexa riley,,2013,True
0615785824,,,,,False
0615788084,My Everything,Heidi McLaughlin,https://covers.openlibrary.org/b/id/14499281-M.jpg,2013-07-01,True
0615789684,,,,,False
061579615X,Damaged,H.M. Ward,https://covers.openlibrary.org/b/id/11972823-M.jpg,"Apr 07, 2013",True
0615796982,,,,,False
0615803830,Knight,alexa riley,https://covers.openlibrary.org/b/id/10476392-M.jpg,"Apr 15, 2013",True
0615803873,Creed,alexa riley,https://covers.openlibrary.org/b/id/14802021-M.jpg,2013,True
0615810756,Surrender,Melody Anne,https://covers.openlibrary.org/b/id/14522980-M.jpg,"Apr 29, 2013",True
0615822762,Bad Things,R. K. Lilley,https://covers.openlibrary.org/b/id/8941701-M.jpg,2013,True
0615822886,Lana,R. K. Lilley,,2013,True
0615822991,Submit (Surrender) (Volume 2),Melody Anne,https://covers.openlibrary.org/b/id/8477189-M.jpg,"May 22, 2013",True
0615826814,Damaged 2,H. M. Ward,https://covers.openlibrary.org/b/id/12814187-M.jpg,2013,True
0615827446,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12488673-M.jpg,2013,True
0615827500,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12973785-M.jpg,2013,True
0615827837,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12488138-M.jpg,2013,True
0615836968,Saving Us,Jennifer Foor,,2013-03-21,True
061583860X,,,,,False
0615840841,Rock Chick Revolution,alexa riley,https://covers.openlibrary.org/b/id/12539705-M.jpg,"Aug 13, 2013",True
0615845517,Seduced - Book Three - Surrender Series (Volume 3),Melody Anne,https://covers.openlibrary.org/b/id/8477196-M.jpg,"Sep 02, 2013",True
0615849601,Stripped,H. M. Ward,https://covers.openlibrary.org/b/id/12936719-M.jpg,2013,True
0615857272,,,,,False
